Date of Report,Longitude,Latitude,County,Sub-County,Ward,Village,Animals Affected,Signs of Disease,Total Number of Animals in the herd,Number Sick,Number Dead
2026-07-24,40.8682209,3.5506096,Mandera,Mandera North,Morothile,Marothile ,Goats,"[Abortions (Mimba Kutoka), Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi), Diarrhoea (Kuhara)]",68,6,0
2026-07-24,40.8682209,3.5506096,Mandera,Mandera North,Morothile,Marothile ,Goats,"[Abortions (Mimba Kutoka), Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi), Diarrhoea (Kuhara)]",115,8,2
2026-07-24,40.8682209,3.5506096,Mandera,Mandera North,Morothile,Marothile ,Sheep,"[Abortions (Mimba Kutoka), Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi), Diarrhoea (Kuhara), Loss of weight]",101,17,5
2026-07-24,40.8682209,3.5506096,Mandera,Mandera North,Morothile,Marothile ,Sheep,"[Abortions (Mimba Kutoka), Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi), Diarrhoea (Kuhara)]",85,6,1
2026-07-24,0.0,0.0,Mandera,Lafey,Fino,Fino,Goats,"[Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi), Diarrhoea (Kuhara)]",50,30,20
2026-07-24,41.8471922,3.9259907,Mandera,Banissa,Banissa,Domal ,Goats,[Nasal discharges (Makamasi)],300,11,1
2026-07-24,41.8471922,3.9259907,Mandera,Banissa,Banissa,Shobtoy ,Goats,[Diarrhoea (Kuhara)],270,11,2
2026-07-24,41.8462498,3.9244602,Mandera,Banissa,Banissa,Danich ,Goats,[Difficulty breathing (Kushindwa Kupumua)],300,9,2
2026-07-24,41.8472189,3.9244992,Mandera,Banissa,Banissa,Handrak ,Goats,[Nasal discharges (Makamasi)],350,9,1
2026-07-24,40.7999207,4.1793321,Mandera,Banissa,Malkamari,Hullow,Goats,"[Lameness (Kushindwa kutembea), Difficulty breathing (Kushindwa Kupumua), Nasal discharges (Makamasi), Diarrhoea (Kuhara)]",13,5,2
