Id,Cadre,Date of Start of Outbreak/Event,Date Event Reported,Season,Latitude,Longitude,Region,Area Type,Area Name,Animal Category,Species,Population in Herd,Traumatic injuries,Number Affected,Type of injury,Nature of human inflicted injury,Death of animals,Skin lesions/ swellings,Respiratory Signs,oral and foot lesions,Diarrhoea,Emaciation,Aggression,Central Nervous System signs,Blindness/Eye condition,Reproductive signs,Other Signs/Syndomes,Number Sick / Bitten,Number Dead,Disease/Condition,Other Disease,Nature of Diagnosis,Number of Humans Affected,Disease Control Method
1191e004-6753-4881-b22c-cd43f9dba09d,Veterinarian,2023-03-23,2023-03-23,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Community land,Bushey Island ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snares ,Clinical,0.0,[Treatment]
c0bde4cd-52e5-4bee-89f6-97c8e1fb050b,Veterinarian,2023-03-26,2023-03-26,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Conservancies,Wileli Conservancy ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snares ,Clinical,0.0,[Treatment]
f8a62339-9f88-4ab2-80a1-97270be7187d,Veterinarian,2023-03-27,2023-03-27,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Conservancies,Loldia Conservancy ,Herbivore,Equidae (Zebra),11-50,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare ,Clinical,0.0,[Treatment]
6f51634d-5e02-41e0-b6f0-5c8e4554f337,Ranger,2023-12-03,2023-12-05,Rainy,-0.7416091,36.4501666,Northern,Non-Protected Area: Conservancies,Naisunyai,Herbivore,Elephants,11-50,Yes,1.0,Unknown,Unknown,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Unknown,Unknown,Unknown,0.0,Unknown
e50f2198-bb25-4abd-ad89-9d54e6a8b822,Veterinarian,2023-04-13,2023-04-13,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Conservancies,Sanctuary Farm ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,1.0,1.0,Other,Snares ,Clinical,1.0,[Treatment]
53c17d9e-0e40-4963-8ce9-a4346aa08fc1,Veterinarian,2023-04-13,2023-04-13,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Kenya Nut - Olumorogi ,Herbivore,Equidae (Zebra),11-50,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare ,Clinical,0.0,[Treatment]
e719c7e6-f075-4518-a631-f11234bd2a4a,Veterinarian,2023-04-18,2023-04-18,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Marula Estate ,Herbivore,Equidae (Zebra),11-50,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snares ,Clinical,0.0,[Treatment]
54cee969-438b-4623-8459-5df66653fee8,Veterinarian,2023-04-19,2023-04-19,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Conservancies,Loldia Conservancy ,Herbivore,Giraffe,<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare ,Clinical,0.0,[Treatment]
9575675e-a295-4c0e-bc82-e8529eae21dd,Veterinarian,2023-04-27,2023-04-27,Dry,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Kenya Nut _ Olumorogi ,Herbivore,Buffalo,<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare,Clinical,0.0,[Treatment]
675bd4f0-8925-4749-9014-1abd954f367e,Veterinarian,2023-04-27,2023-04-27,Rainy,0.0,0.0,Central Rift,Non-Protected Area: Ranch,Kenya Nut _ Olumorogi ,Herbivore,Equidae (Zebra),<10,Yes,1.0,Human inflicted,Snares,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,Other,Snare,Clinical,0.0,[Treatment]
