Date of Report,Date of Start of Outbreak/Event,County,Sub-County,Ward,Locality,Species Affected,Production System,Abortion,Number Sick / Bitten,Number Dead,Disease/Condition,Nature of Diagnosis,Number of Humans Affected (If zoonosis),Number Vaccinated,Disease Control Method,Longitude,Latitude,Number Sick
2024-01-26,2024-01-26,Taita Taveta,Voi,Mbololo,Village/Farm,Cattle,Mixed,No,0,0,Trypanosomiasis,Clinical,0,0,[Treatment],38.5218233,-3.3154838,1
2024-01-18,2024-01-18,Vihiga,Hamisi,Shamakhokho,Abattoir,Cattle,Unknown,No,0,0,Fracture ,Clinical,0,0,[Other],34.8525866,0.0793776,1
2024-01-26,2024-01-25,Marsabit,Moyale,Golbo,Village/Farm,Goats,Extensive,Yes,0,0,Brucellosis,Clinical,0,0,[Treatment],39.204077,3.34111,10
2024-01-26,2024-01-26,Siaya,Gem,Central Gem,Village/Farm,Goats,Mixed,Yes,0,0,Abortion ,Clinical,0,0,"[Treatment, Isolation]",34.451826,0.06654,1
2024-01-26,2024-01-22,Marsabit,Moyale,Uran,Village/Farm,Sheep,Extensive,No,0,0,Pneumonia,Clinical,0,0,[Treatment],38.2439088,3.4912273,2
2024-01-11,2024-01-10,Vihiga,Hamisi,Shamakhokho,Village/Farm,Cattle,Mixed,No,0,0,East Coast Fever(ECF),Clinical,0,0,"[Treatment, Vector Control]",0.0,0.0,1
2024-01-15,2024-01-14,Vihiga,Hamisi,Shamakhokho,Village/Farm,Cattle,Extensive,No,0,0,Stomach Enteritis,Clinical,0,0,[Treatment],34.8529615,0.0795798,1
2024-01-12,2024-01-11,Vihiga,Hamisi,Shamakhokho,Village/Farm,Cattle,Extensive,No,0,0,Pneumonia,Clinical,0,0,[Treatment],0.0,0.0,1
2024-01-26,2024-01-25,Makueni,Kibwezi West,Kikumbulyu South,Village/Farm,Cattle,Mixed,No,0,0,Animal bites,Clinical,0,0,[Treatment],37.9418716,-2.3316162,1
2024-01-18,2024-01-17,Vihiga,Hamisi,Shamakhokho,Village/Farm,Cattle,Extensive,No,0,0,Pneumonia,Clinical,0,0,"[Treatment, Other]",34.850517,0.0800989,1
2024-01-15,2024-01-14,Vihiga,Hamisi,Shamakhokho,Village/Farm,Cattle,Extensive,No,0,0,Pneumonia,Clinical,0,0,[Treatment],34.8531353,0.0789417,1
2024-01-26,2024-01-26,Kakamega,Malava,Chemuche,Village/Farm,Goats,Mixed,No,0,0,Bee Sting,Clinical,0,0,[Treatment],34.8698313,0.4460492,1
2024-01-22,2024-01-21,Vihiga,Hamisi,Banja,Village/Farm,Cattle,Mixed,No,0,0,Helminthiasis,Clinical,0,0,[Vector Control],34.843618,0.067879,5
